age,gender,study_hours_per_day,social_media_hours,netflix_hours,attendance_percentage,sleep_hours,diet_quality,exercise_frequency,parental_education_level,internet_quality,mental_health_rating,exam_score,total_screen_time,lifestyle_score,study_effectivness,part_time_job_No,part_time_job_Yes,extracurricular_participation_No,extracurricular_participation_Yes
0.8571428571428572,0.0,0.0,0.16666666666666666,0.20370370370370372,0.6590909090909092,0.7058823529411764,0.0,1.0,1.0,0.0,0.7777777777777777,56.2,0.2121212121212121,0.8655913978494624,0.0,1.0,0.0,0.0,1.0
0.4285714285714284,0.0,0.8313253012048192,0.3888888888888889,0.4259259259259259,0.9386363636363637,0.20588235294117635,0.5,1.0,0.5,0.0,0.7777777777777777,100.0,0.4949494949494949,0.6827956989247314,0.888713862120089,1.0,0.0,1.0,0.0
0.5714285714285716,0.5,0.16867469879518068,0.4305555555555556,0.24074074074074073,0.8818181818181816,0.7058823529411764,1.0,0.16666666666666666,0.5,1.0,0.0,34.3,0.42424242424242425,0.22043010752688175,0.17568569310600443,1.0,0.0,1.0,0.0
0.8571428571428572,0.0,0.12048192771084336,0.5416666666666666,0.18518518518518517,0.34090909090909105,0.8823529411764703,1.0,0.6666666666666666,1.0,0.5,0.0,26.8,0.47474747474747475,0.446236559139785,0.09398496240601502,1.0,0.0,0.0,1.0
0.2857142857142856,0.0,0.6024096385542168,0.6111111111111112,0.09259259259259259,0.7931818181818182,0.25000000000000006,0.0,0.5,1.0,0.5,0.0,66.4,0.47474747474747475,0.16129032258064518,0.6016361325849835,1.0,0.0,1.0,0.0
1.0,0.5,0.8674698795180722,0.18055555555555558,0.0,0.6113636363636366,0.6176470588235294,0.0,0.16666666666666666,1.0,0.0,0.3333333333333333,100.0,0.11111111111111112,0.349462365591398,0.7901090755056656,1.0,0.0,1.0,0.0
0.5714285714285716,0.0,0.6746987951807227,0.20833333333333334,0.25925925925925924,0.6772727272727272,0.4852941176470588,0.5,0.3333333333333333,1.0,1.0,0.3333333333333333,89.8,0.2727272727272727,0.3548387096774195,0.6360266864343957,0.0,1.0,1.0,0.0
0.5714285714285716,0.0,0.5180722891566264,0.1388888888888889,0.37037037037037035,0.4931818181818184,0.20588235294117635,0.0,0.0,0.0,0.0,0.7777777777777777,72.6,0.2828282828282828,0.360215053763441,0.44227205337286873,0.0,1.0,1.0,0.0
0.8571428571428572,0.0,0.5301204819277108,0.3055555555555556,0.31481481481481477,1.0000000000000002,0.5735294117647058,0.5,0.5,0.0,0.5,0.0,78.9,0.37373737373737376,0.27956989247311825,0.5824420205443186,1.0,0.0,1.0,0.0
0.1428571428571428,0.0,0.5783132530120481,0.4305555555555556,0.24074074074074073,0.8954545454545457,0.6323529411764706,0.5,0.8333333333333333,0.0,0.5,1.0,100.0,0.42424242424242425,0.8924731182795701,0.6061632955628508,1.0,0.0,0.0,1.0
